En_tot Ep Ec 
14.232294 6.851886 7.380408 
14.451142 11.193920 3.257222 
14.330088 8.055584 6.274504 
14.075980 5.803310 8.272670 
14.325877 9.090215 5.235662 
14.205841 6.907812 7.298029 
14.194628 7.698312 6.496316 
14.163165 5.386358 8.776808 
14.190737 6.751746 7.438991 
14.185752 1.596753 12.589000 
14.197698 7.238045 6.959653 
14.133755 2.561946 11.571809 
14.104215 4.442783 9.661432 
14.330413 8.088601 6.241812 
14.173244 6.432454 7.740790 
14.153450 4.636208 9.517242 
14.033577 7.347643 6.685934 
13.950174 3.857141 10.093033 
13.991875 7.701606 6.290269 
14.449736 10.952874 3.496862 
14.317005 8.174075 6.142931 
14.181530 6.577317 7.604213 
14.222138 6.492435 7.729703 
14.252414 8.880282 5.372131 
14.207166 4.994069 9.213098 
14.225157 4.866415 9.358742 
14.041154 2.173249 11.867905 
14.250918 5.847402 8.403517 
14.259921 8.781413 5.478509 
14.260928 4.595477 9.665452 
14.128481 2.383567 11.744914 
14.261095 7.575958 6.685137 
14.201995 9.310799 4.891196 
13.896321 4.970493 8.925828 
14.246091 9.036736 5.209355 
14.393174 10.703006 3.690168 
14.091628 3.066487 11.025142 
14.277912 8.236126 6.041785 
14.255744 6.874977 7.380767 
14.275218 6.813472 7.461746 
14.252675 5.735516 8.517159 
14.208079 7.776465 6.431615 
14.248520 3.491662 10.756859 
14.075512 4.118759 9.956753 
14.180794 2.229535 11.951259 
14.081188 5.232231 8.848957 
14.146874 5.325260 8.821614 
14.544838 9.714261 4.830577 
14.193007 5.287664 8.905343 
14.231848 6.626440 7.605409 
14.076200 6.981767 7.094433 
14.132614 4.278955 9.853659 
14.178482 7.719661 6.458820 
14.278004 5.754874 8.523130 
14.317786 9.457223 4.860563 
14.240912 4.128541 10.112371 
14.359125 10.524159 3.834966 
14.254036 5.399084 8.854952 
14.209683 5.473256 8.736427 
14.185757 4.104849 10.080908 
14.096064 6.055910 8.040154 
14.272115 7.093540 7.178575 
14.269221 10.497479 3.771743 
14.213741 4.635755 9.577987 
14.147225 5.709697 8.437528 
13.960439 3.166378 10.794061 
14.224722 7.654614 6.570109 
14.386370 9.274409 5.111961 
14.262987 5.666126 8.596861 
14.127845 8.438018 5.689827 
14.158997 2.874654 11.284343 
14.065513 5.409316 8.656197 
14.195376 3.676762 10.518614 
14.249664 6.295485 7.954178 
14.163048 2.990268 11.172780 
14.171734 5.921795 8.249939 
14.073650 5.024619 9.049031 
14.352155 10.417411 3.934744 
14.233254 6.385114 7.848140 
14.446225 10.294612 4.151613 
14.282199 5.964220 8.317979 
14.232461 8.581891 5.650570 
14.375131 9.249239 5.125892 
14.381398 8.881348 5.500050 
14.177805 7.142711 7.035094 
14.094481 6.146220 7.948261 
14.163006 5.344124 8.818882 
14.112773 2.246516 11.866258 
14.095049 3.956936 10.138113 
14.160301 3.511059 10.649242 
14.247088 5.214499 9.032589 
14.188224 7.812758 6.375466 
14.086707 2.049324 12.037383 
14.177581 6.331314 7.846266 
14.322954 9.034393 5.288561 
14.167265 8.275337 5.891929 
14.008882 6.536502 7.472380 
14.101210 7.678804 6.422406 
14.340542 12.244630 2.095912 
14.145293 5.374264 8.771029 
14.365853 10.677291 3.688562 
14.082785 3.297128 10.785657 
13.995014 1.756201 12.238812 
14.240203 8.070508 6.169695 
14.212641 6.614033 7.598609 
14.243982 2.595919 11.648063 
14.306461 9.640358 4.666103 
14.183454 2.481651 11.701802 
14.214035 6.833606 7.380428 
14.220345 5.130570 9.089775 
14.674857 10.395290 4.279568 
14.097598 6.119341 7.978258 
14.319349 9.469432 4.849917 
14.223382 7.836113 6.387269 
14.237783 6.357476 7.880307 
14.420290 9.372143 5.048147 
14.269344 7.328820 6.940524 
13.927474 4.867424 9.060050 
14.245366 6.464191 7.781176 
14.354850 9.926178 4.428672 
14.243033 2.363258 11.879775 
14.172294 7.762318 6.409976 
14.296878 5.012236 9.284642 
14.065465 4.977540 9.087925 
14.337013 6.836051 7.500963 
14.366165 7.978471 6.387694 
14.260974 8.737978 5.522996 
14.157773 9.632236 4.525537 
13.994564 4.050163 9.944401 
14.103386 3.925129 10.178257 
14.248853 7.929247 6.319607 
14.298914 7.001589 7.297325 
14.244079 7.923460 6.320620 
14.210989 7.005619 7.205370 
14.225633 6.539124 7.686509 
14.246217 3.903952 10.342265 
14.097581 6.582137 7.515443 
14.252569 2.775242 11.477327 
14.211714 5.520507 8.691207 
14.229877 5.001631 9.228246 
13.975355 3.751045 10.224310 
14.258186 7.809703 6.448483 
14.250928 10.377784 3.873144 
14.165372 6.138856 8.026516 
14.281752 7.655612 6.626140 
14.399859 9.229701 5.170158 
14.396438 9.151649 5.244789 
14.278485 7.241360 7.037125 
14.218461 6.476101 7.742359 
14.233310 5.322257 8.911053 
14.327257 8.120354 6.206903 
14.264585 7.263944 7.000640 
14.190114 2.530849 11.659265 
14.200194 5.591030 8.609164 
14.133627 5.481121 8.652506 
14.235441 3.629085 10.606357 
14.295251 9.518951 4.776300 
14.166121 6.322667 7.843454 
14.191947 7.900205 6.291741 
14.332221 8.501152 5.831069 
14.201062 7.729450 6.471612 
14.362205 11.518866 2.843338 
13.964331 3.626962 10.337369 
14.262430 8.919923 5.342506 
14.087338 2.085109 12.002229 
14.225016 7.511842 6.713173 
14.160070 3.815760 10.344310 
14.030221 3.258062 10.772159 
14.046514 2.958405 11.088109 
14.134230 5.007876 9.126355 
14.230386 3.908964 10.321422 
13.983140 5.487954 8.495185 
14.156071 0.094182 14.061889 
14.285899 10.343462 3.942437 
14.207334 6.077491 8.129844 
14.204106 6.713128 7.490978 
14.064503 6.799233 7.265269 
14.234140 7.226539 7.007600 
14.150825 8.184207 5.966618 
14.343556 7.003923 7.339633 
14.387293 9.648837 4.738456 
14.270621 5.594773 8.675848 
14.166134 8.096229 6.069904 
14.387705 8.743847 5.643859 
14.120449 5.412259 8.708190 
14.277700 5.173182 9.104518 
14.268308 6.738917 7.529391 
14.267843 4.031501 10.236342 
14.153433 7.319384 6.834049 
14.184837 3.509063 10.675774 
14.269191 6.752733 7.516458 
14.302993 9.332065 4.970928 
14.433674 11.278243 3.155431 
14.391018 8.668862 5.722156 
14.238468 8.127247 6.111221 
14.354359 8.897829 5.456530 
14.139113 5.141131 8.997981 
14.044143 5.564006 8.480137 
14.357248 8.529983 5.827265 
14.201226 5.561138 8.640088 
14.253934 6.200516 8.053418 
14.311637 7.535858 6.775779 
14.276043 4.475269 9.800774 
14.428345 8.067834 6.360511 
14.141521 2.916319 11.225202 
14.090333 4.246027 9.844305 
14.383278 8.562459 5.820819 
14.015724 7.361740 6.653984 
14.279848 9.489161 4.790687 
14.432040 9.761152 4.670888 
14.102167 7.515472 6.586695 
14.051335 7.893711 6.157624 
14.347986 8.724143 5.623843 
14.143208 7.501053 6.642154 
14.133745 2.494726 11.639020 
14.091973 8.352931 5.739042 
14.191046 3.823095 10.367951 
14.109063 2.755048 11.354014 
14.229662 6.029659 8.200002 
14.091080 1.958359 12.132721 
14.205394 3.931534 10.273861 
14.045115 7.408075 6.637040 
14.257461 4.278739 9.978722 
14.257894 9.623098 4.634796 
14.269733 4.911493 9.358239 
14.321180 10.636927 3.684253 
14.301637 8.839504 5.462133 
14.276659 6.611388 7.665271 
14.150875 8.578856 5.572019 
14.169773 3.543781 10.625992 
14.245611 10.745481 3.500130 
14.146326 3.112617 11.033710 
14.197681 6.418238 7.779444 
14.182359 3.888583 10.293776 
14.128798 4.946879 9.181919 
14.078759 2.473013 11.605746 
